week,month,week_offset,total_bugs,cumulative_bugs,open_bugs,closed_bugs
1,1,1,18,18,6,12
2,1,2,17,35,11,24
3,1,3,17,52,16,36
4,1,4,11,63,19,44
1,2,5,9,72,22,50
2,2,6,19,91,28,63
3,2,7,21,112,34,78
4,2,8,16,128,39,89
1,3,9,17,145,44,101
2,3,10,18,163,49,114
3,3,11,14,177,54,123
4,3,12,15,192,58,134
1,4,13,8,200,60,140
2,4,14,24,224,68,156
3,4,15,19,243,73,170
4,4,16,7,250,75,175
1,5,17,13,263,79,184
2,5,18,16,279,84,195
3,5,19,17,296,89,207
4,5,20,7,303,91,212
1,6,21,16,319,96,223
2,6,22,20,339,102,237
3,6,23,20,359,108,251
4,6,24,9,368,111,257
1,7,25,11,379,114,265
2,7,26,16,395,119,276
