commit_id,timestamp,module_name,files_changed,loc_added,loc_deleted
698a404,2026-07-01,ALU,alu_mul.v,27,8
698a404,2026-07-01,Decoder,inst_decode.v,9,4
93e2744,2026-07-03,ControlUnit,power_ctrl.v,4,10
93e2744,2026-07-03,Cache,tag_array.v,25,21
4682e46,2026-07-04,DMA,dma_ctrl.v,28,17
004fac1,2026-07-04,ControlUnit,fsm.v,23,8
dcec0ad,2026-07-05,Cache,cache_ctrl.v,30,16
570d6cf,2026-07-06,DMA,dma_ctrl.v,14,16
570d6cf,2026-07-06,BranchUnit,branch_unit.v,18,1
0d2242a,2026-07-07,FIFO,fifo.v,16,0
1fc4399,2026-07-08,AXI,axi_arbiter.v,25,0
8f362a6,2026-07-08,ControlUnit,fsm.v,17,2
8f362a6,2026-07-08,DMA,desc_fetch.v,5,7
736ba3d,2026-07-09,FIFO,fifo.v,0,15
aa7ba10,2026-07-10,ControlUnit,ctrl_unit.v,23,12
790429b,2026-07-10,FIFO,fifo.v,28,7
11d6f99,2026-07-11,BranchUnit,bht.v,43,25
11d6f99,2026-07-11,FIFO,fifo_sync.v,22,5
c24651a,2026-07-12,Cache,cache.v,2,23
c24651a,2026-07-12,Decoder,decoder.v,24,3
bc6ac99,2026-07-13,ALU,alu_div.v,32,13
bc6ac99,2026-07-13,ControlUnit,ctrl_unit.v,10,3
451758d,2026-07-14,ALU,alu.v,27,13
1cdd0d7,2026-07-14,FIFO,fifo_sync.v,18,5
26f3750,2026-07-14,FIFO,fifo.v,21,9
b066caf,2026-07-14,AXI,axi_master.v,35,12
ada1bbd,2026-07-15,BranchUnit,branch_unit.v,36,13
7be96ac,2026-07-15,BranchUnit,btb.v,13,5
8be9595,2026-07-17,Decoder,inst_decode.v,12,2
8be9595,2026-07-17,BranchUnit,bht.v,19,3
54659ca,2026-07-17,BranchUnit,btb.v,36,7
d3deb6d,2026-07-19,Cache,cache_ctrl.v,34,3
d3deb6d,2026-07-19,ALU,alu_div.v,34,12
720f7d6,2026-07-19,ALU,alu.v,31,4
8a56b67,2026-07-20,AXI,axi_arbiter.v,11,9
523f732,2026-07-20,Decoder,decoder.v,0,8
8a56b67,2026-07-20,BranchUnit,btb.v,27,14
d68d7e7,2026-07-21,ALU,alu_div.v,31,9
e65c20f,2026-07-21,ControlUnit,power_ctrl.v,22,0
e83945c,2026-07-21,BranchUnit,btb.v,33,6
620bafb,2026-07-21,BranchUnit,branch_unit.v,29,17
886d179,2026-07-23,Cache,cache_ctrl.v,24,19
886d179,2026-07-23,ControlUnit,ctrl_unit.v,6,5
c3aa6d8,2026-07-24,Cache,cache.v,29,11
8710654,2026-07-24,ALU,alu_div.v,26,15
92e9e8c,2026-07-24,Cache,tag_array.v,43,24
2adb0d5,2026-07-24,DMA,desc_fetch.v,41,13
2adb0d5,2026-07-24,FIFO,fifo.v,4,18
c3aa6d8,2026-07-24,ALU,alu_div.v,15,15
678d992,2026-07-25,FIFO,fifo_sync.v,5,5
1204c5b,2026-07-25,ControlUnit,power_ctrl.v,14,7
1204c5b,2026-07-25,ALU,alu.v,16,2
4d2fd88,2026-07-25,Cache,cache.v,32,11
db55c85,2026-07-25,ControlUnit,fsm.v,22,5
d01234d,2026-07-25,FIFO,fifo_sync.v,27,3
eda218b,2026-07-26,Cache,cache.v,27,9
eda218b,2026-07-26,DMA,dma_ctrl.v,39,11
eda218b,2026-07-26,ControlUnit,fsm.v,11,9
11b752a,2026-07-26,Decoder,decoder.v,4,12
1e70c8f,2026-07-27,Cache,cache.v,54,10
60fbc9e,2026-07-28,FIFO,fifo.v,8,5
60fbc9e,2026-07-28,Decoder,inst_decode.v,25,6
f46dcac,2026-07-29,ALU,alu.v,18,14
d8e0b9c,2026-07-29,Cache,tag_array.v,24,21
d4d7cb5,2026-07-30,Decoder,decoder.v,9,12
2881fe7,2026-07-31,DMA,dma_ctrl.v,25,6
2881fe7,2026-07-31,Cache,tag_array.v,22,8
3198705,2026-07-31,Decoder,decoder.v,22,3
54f028e,2026-07-31,AXI,axi_arbiter.v,12,16
3198705,2026-07-31,BranchUnit,btb.v,22,10
4e63bc9,2026-07-31,BranchUnit,bht.v,35,11
3198705,2026-07-31,FIFO,fifo.v,31,11
ac38e7b,2026-08-01,DMA,desc_fetch.v,18,6
605a627,2026-08-02,ALU,alu_div.v,29,13
8b20da7,2026-08-02,FIFO,fifo_sync.v,12,0
605a627,2026-08-02,AXI,axi_master.v,18,2
605a627,2026-08-02,DMA,desc_fetch.v,37,17
fcc4176,2026-08-03,DMA,desc_fetch.v,0,10
d9db491,2026-08-04,DMA,dma_ctrl.v,3,0
5ed7de8,2026-08-04,BranchUnit,bht.v,30,10
5ed7de8,2026-08-04,Cache,cache_ctrl.v,33,12
5ed7de8,2026-08-04,AXI,axi_arbiter.v,26,0
c69bcb1,2026-08-04,DMA,dma.v,10,11
9346804,2026-08-05,DMA,desc_fetch.v,31,3
9a66561,2026-08-05,DMA,dma.v,22,12
01ee8d9,2026-08-07,ALU,alu_mul.v,32,19
61351b5,2026-08-07,AXI,axi_slave.v,14,9
5ffcb8c,2026-08-08,BranchUnit,branch_unit.v,4,9
5fa2142,2026-08-09,ControlUnit,fsm.v,15,6
6d6b554,2026-08-09,ControlUnit,ctrl_unit.v,23,2
5fa2142,2026-08-09,Decoder,inst_decode.v,14,0
6d6b554,2026-08-09,ALU,alu.v,23,9
a8211ef,2026-08-09,BranchUnit,bht.v,22,1
98b098d,2026-08-10,Decoder,decoder.v,10,6
5ff7468,2026-08-11,Cache,cache_ctrl.v,40,19
5ff7468,2026-08-11,BranchUnit,branch_unit.v,30,3
461eef9,2026-08-13,Decoder,inst_decode.v,36,4
461eef9,2026-08-13,Cache,cache_ctrl.v,51,20
bb88f76,2026-08-14,FIFO,fifo_sync.v,17,6
479b14b,2026-08-14,FIFO,fifo_sync.v,15,2
adc9287,2026-08-15,Cache,tag_array.v,44,14
3945afa,2026-08-15,FIFO,fifo.v,27,0
bf84133,2026-08-15,Cache,cache_ctrl.v,42,14
b446b58,2026-08-15,FIFO,fifo.v,0,0
b80ef74,2026-08-16,BranchUnit,btb.v,25,5
b80ef74,2026-08-16,Cache,cache_ctrl.v,20,15
505636a,2026-08-16,Decoder,inst_decode.v,11,12
441318c,2026-08-17,ControlUnit,fsm.v,6,2
bdec3c3,2026-08-18,FIFO,fifo.v,16,0
bdec3c3,2026-08-18,Cache,cache.v,28,12
2f7d46a,2026-08-18,BranchUnit,bht.v,22,11
0f2e213,2026-08-18,AXI,axi_arbiter.v,8,5
52e774b,2026-08-18,FIFO,fifo_sync.v,22,0
42d9df7,2026-08-19,ControlUnit,power_ctrl.v,12,14
42d9df7,2026-08-19,DMA,dma_ctrl.v,22,12
037d16a,2026-08-19,BranchUnit,btb.v,19,5
6ebc569,2026-08-19,AXI,axi_master.v,29,11
037d16a,2026-08-19,DMA,dma.v,32,8
885e1de,2026-08-21,Cache,cache.v,35,11
df499bf,2026-08-23,FIFO,fifo.v,21,6
df499bf,2026-08-23,AXI,axi_master.v,6,11
c7b07c8,2026-08-23,AXI,axi_slave.v,26,14
29d60a2,2026-08-24,DMA,desc_fetch.v,21,19
29d60a2,2026-08-24,Cache,cache.v,12,8
29d60a2,2026-08-24,AXI,axi_master.v,25,8
db6431d,2026-08-25,DMA,desc_fetch.v,22,12
dc4c1dd,2026-08-26,ControlUnit,fsm.v,15,6
9a795c5,2026-08-26,Decoder,decoder.v,9,0
9a795c5,2026-08-26,BranchUnit,btb.v,13,19
9a795c5,2026-08-26,AXI,axi_arbiter.v,9,9
e5d91a0,2026-08-27,DMA,dma_ctrl.v,29,7
e5d91a0,2026-08-27,ALU,alu.v,40,9
359331a,2026-08-28,ALU,alu_mul.v,23,13
7aa9df1,2026-08-29,FIFO,fifo.v,23,8
f6ff240,2026-08-29,BranchUnit,btb.v,36,5
f6ff240,2026-08-29,FIFO,fifo_sync.v,21,7
109b0b6,2026-08-29,ALU,alu.v,22,10
fc3d89d,2026-08-29,Cache,tag_array.v,30,14
f9cb612,2026-08-31,BranchUnit,bht.v,27,0
d065b51,2026-08-31,BranchUnit,branch_unit.v,26,11
d065b51,2026-08-31,Decoder,inst_decode.v,9,3
9ec7d95,2026-09-01,Cache,cache.v,24,13
9ec7d95,2026-09-01,Decoder,inst_decode.v,16,5
e21b56c,2026-09-02,Decoder,decoder.v,0,3
86296c4,2026-09-02,Cache,cache_ctrl.v,41,10
5d33764,2026-09-02,Decoder,decoder.v,31,10
86296c4,2026-09-02,Decoder,decoder.v,26,5
5d33764,2026-09-02,DMA,dma.v,26,6
25b5fed,2026-09-03,AXI,axi_master.v,15,11
c4fa665,2026-09-03,AXI,axi_arbiter.v,38,14
dad9c30,2026-09-05,ControlUnit,power_ctrl.v,11,5
510c893,2026-09-05,ControlUnit,power_ctrl.v,24,12
a656207,2026-09-06,AXI,axi_arbiter.v,16,9
f8f1f2f,2026-09-06,BranchUnit,btb.v,32,12
7f52b5c,2026-09-07,ALU,alu_div.v,46,10
7f52b5c,2026-09-07,BranchUnit,btb.v,13,11
d5cf6c0,2026-09-08,DMA,dma_ctrl.v,25,18
29a4a77,2026-09-08,Decoder,inst_decode.v,32,7
d5cf6c0,2026-09-08,ControlUnit,ctrl_unit.v,17,0
3dd37eb,2026-09-09,ControlUnit,power_ctrl.v,0,7
6d710c4,2026-09-09,AXI,axi_master.v,23,0
fd55ee9,2026-09-09,AXI,axi_slave.v,26,9
3eb94ea,2026-09-10,Decoder,decoder.v,18,7
ce0e738,2026-09-10,Cache,cache.v,43,18
adac47f,2026-09-10,DMA,dma_ctrl.v,22,18
3eb94ea,2026-09-10,ALU,alu_mul.v,46,15
dc6fd75,2026-09-11,Cache,tag_array.v,38,22
