week,month,module_name,loc_changed,commits,bugs_found,coverage_percent,regression_runtime,developer_feedback
1,1,ALU,61,4,4,80.4,25,overflow edge case in multiplier
1,1,Decoder,23,2,0,87.7,14,clean run
1,1,Cache,48,2,2,73.3,35,memory stall issue
1,1,DMA,59,1,3,76.3,31,channel arbitration bug
1,1,AXI,35,1,1,84.6,21,outstanding transaction overflow
1,1,FIFO,45,2,6,85.5,14,read pointer wrap
1,1,BranchUnit,54,2,1,75.2,22,BTB miss under loop
1,1,ControlUnit,44,1,2,84.0,19,FSM deadlock state
2,1,ALU,32,3,8,74.1,32,saturate mode failure
2,1,Decoder,18,1,0,91.1,11,clean run
2,1,Cache,99,3,3,69.5,49,memory stall issue
2,1,DMA,58,3,5,76.3,34,address wrap issue
2,1,AXI,5,1,0,86.0,20,clean run
2,1,FIFO,22,5,5,89.1,14,synchronizer metastability
2,1,BranchUnit,56,1,1,79.7,25,branch misprediction on ret
2,1,ControlUnit,35,3,5,85.2,22,FSM deadlock state
3,1,ALU,91,1,0,79.7,26,clean run
3,1,Decoder,28,2,2,88.4,13,decode mismatch on illegal opcode
3,1,Cache,25,6,8,72.3,36,cache coherency violation
3,1,DMA,67,3,6,75.9,31,descriptor fetch issue
3,1,AXI,31,3,5,81.3,20,burst boundary crossing
3,1,FIFO,22,5,4,85.9,18,depth count off by one
3,1,BranchUnit,28,1,4,82.2,19,branch misprediction on ret
3,1,ControlUnit,45,6,6,86.7,17,mode register not latched
4,1,ALU,66,6,12,78.9,27,pipeline stall during signed division
4,1,Decoder,22,3,0,89.4,16,clean run
4,1,Cache,46,1,1,73.6,39,dirty bit not set
4,1,DMA,39,6,4,73.3,35,address wrap issue
4,1,AXI,49,1,2,79.7,33,RRESP error not propagated
4,1,FIFO,44,2,1,87.8,24,read pointer wrap
4,1,BranchUnit,24,1,1,80.4,24,conditional jump timing
4,1,ControlUnit,53,1,0,86.6,28,clean run
1,2,ALU,51,3,6,77.7,25,saturate mode failure
1,2,Decoder,34,3,0,89.2,15,clean run
1,2,Cache,49,2,4,74.1,37,eviction policy bug
1,2,DMA,69,4,8,75.3,38,burst transfer hang
1,2,AXI,49,4,5,84.1,30,outstanding transaction overflow
1,2,FIFO,41,2,1,82.3,23,synchronizer metastability
1,2,BranchUnit,55,2,1,78.8,24,speculative fetch error
1,2,ControlUnit,29,1,2,82.4,14,clock gate enable glitch
2,2,ALU,62,6,9,81.8,27,pipeline stall during signed division
2,2,Decoder,17,1,0,91.8,10,clean run
2,2,Cache,55,5,20,72.8,40,cache coherency violation
2,2,DMA,71,1,4,81.7,33,channel arbitration bug
2,2,AXI,42,2,2,87.5,20,AXI handshake violation
2,2,FIFO,25,1,3,91.6,14,overflow under stress
2,2,BranchUnit,61,5,4,84.8,28,conditional jump timing
2,2,ControlUnit,29,3,5,86.7,18,FSM deadlock state
3,2,ALU,27,5,13,79.3,26,carry propagation bug
3,2,Decoder,37,1,0,93.8,10,clean run
3,2,Cache,100,3,10,71.2,50,eviction policy bug
3,2,DMA,23,1,0,76.9,25,clean run
3,2,AXI,42,1,1,87.4,24,burst boundary crossing
3,2,FIFO,22,1,0,84.5,14,clean run
3,2,BranchUnit,57,3,3,84.0,27,speculative fetch error
3,2,ControlUnit,27,2,2,84.9,12,FSM deadlock state
4,2,ALU,73,1,2,74.3,28,arithmetic shift right incorrect
4,2,Decoder,17,2,0,88.9,10,clean run
4,2,Cache,89,2,2,73.1,49,tag array mismatch
4,2,DMA,62,1,1,78.2,40,burst transfer hang
4,2,AXI,33,3,1,83.2,25,RRESP error not propagated
4,2,FIFO,22,2,2,87.0,17,overflow under stress
4,2,BranchUnit,17,3,3,82.5,14,indirect branch resolution
4,2,ControlUnit,36,1,0,83.2,20,clean run
1,3,ALU,37,2,0,76.5,21,clean run
